B07BKB1CYP,2022,3,16,car camera,10,1,6,4.0,79.99,0,1,1,1,0,0,0,0,0,0,0,"Sat, Mar 19","Sat, Mar 19",0,Misayaee HD 720p Roof Camera Reverse Camera Third Brake Light Camera Rear View Backup Camera for Transporter Express/ Savana Explorer 1500 2500 3500 2006-2019,http://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_car-electronics_sr_pg10_1?ie=UTF8&adId=A0404726L1GRIML5OPS4&url=%2FMisayaee-Camera-Transporter-Express-Explorer%2Fdp%2FB07BKB1CYP%2Fref%3Dsr_1_145_sspa%3Fkeywords%3DCar%2BVideo%26qid%3D1647382290%26s%3Dcar%26sr%3D1-145-spons%26psc%3D1&qualifier=1647382290&id=7283628577490767&widgetName=sp_atf_next,2022-03-16 06:11:37.462819
B09M6HQ7W7,2022,3,16,car camera,10,2,4,3.4,39.99,0,1,1,1,0,0,0,0,0,5% coupon applied at checkout,Save 5%  with coupon,"Thu, Mar 17","Thu, Mar 17",0,"Mirror Dash Cam - 1080p High-Definition Dash Cam 3.5"" inch Digital Video Recorder Single Lens Registration Camcorder for Car, Night Vision, Parking Assist, Loop (3.5"" inch)",http://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_car-electronics_sr_pg10_1?ie=UTF8&adId=A026713828QMWXKOW7Z3P&url=%2FMirror-Dash-Cam-High-Definition-Registration%2Fdp%2FB09M6HQ7W7%2Fref%3Dsr_1_146_sspa%3Fkeywords%3DCar%2BVideo%26qid%3D1647382290%26s%3Dcar%26sr%3D1-146-spons%26psc%3D1&qualifier=1647382290&id=7283628577490767&widgetName=sp_atf_next,2022-03-16 06:11:41.618981
B07CT85NX9,2022,3,16,car camera,10,3,4,4.1,45.73,0,0,1,1,0,0,0,0,0,0,0,"Thu, Mar 17","Thu, Mar 17",0,"BOYO VTSW4-4-Channel Video Switcher with Trigger Wires for Car, Truck or Van",http://amazon.com/Boyo-VTSW4-Channel-Switcher-Trigger/dp/B07CT85NX9/ref=sr_1_147?keywords=Car+Video&qid=1647382290&s=car&sr=1-147,2022-03-16 06:11:48.851243
B09LCTWSX1,2022,3,16,car camera,10,4,23,3.3,30.99,40.99,0,1,1,24%,0,0,0,0,Lowest price in 30 days,0,"Thu, Mar 17","Thu, Mar 17",0,"Security Camera for Car Dash Cam Front Car Video Mini Dashcam(32GB SD Card Included), Phone App 24H Car Parking Monitor Night Vision WDR G-Sensor",http://amazon.com/Security-Dashcam-Included-Parking-G-Sensor/dp/B09LCTWSX1/ref=sr_1_148?keywords=Car+Video&qid=1647382290&s=car&sr=1-148,2022-03-16 06:11:53.032695
B09LHDM656,2022,3,16,car camera,10,5,0,0,144.99,0,0,1,1,0,0,0,0,0,$10.00 coupon applied at checkout,Save $10.00  with coupon,"Thu, Mar 17","Thu, Mar 17",0,[2+32G] Android 10.1” Double Din Car Stereo 2.5D Touch Screen Wifi GPS Navigation Car Radio Support Mirror Link for iOS/Android Phone Built-in Bluetooth FM USB Adapter Input Backup Camera SWC Headunit,http://amazon.com/Android-Navigation-Support-Bluetooth-Headunit/dp/B09LHDM656/ref=sr_1_149?keywords=Car+Video&qid=1647382290&s=car&sr=1-149,2022-03-16 06:11:57.217739
B09BQMTY49,2022,3,16,car camera,10,6,177,4.2,68.69,0,0,1,1,0,0,0,0,0,10% coupon applied at checkout,Save 10%  with coupon,"Thu, Mar 17","Thu, Mar 17",More Buying Choices,"TOGUARDVIDEO Dual Dash Cam 1080P Front and Cabin Car Dashboard Camera with IR Night Vision, 2 Channel Driving Recorder Motion Detection, Parking Monitoring, Accident Locked, Loop Recording, 1.5in LCD",http://amazon.com/TOGUARDVIDEO-Dashboard-Detection-Monitoring-Recording/dp/B09BQMTY49/ref=sr_1_150?keywords=Car+Video&qid=1647382290&s=car&sr=1-150,2022-03-16 06:12:01.400095
B07GYFC75X,2022,3,16,car camera,10,7,13,3.8,16.78,20.00,0,0,1,0,0,0,0,0,0,0,"Wed, Apr 6",0,0,Auto Wayfeng WF Car 2 Cameras Switch Control Box 2 Way Channel for Front/Rear/Right/Left View Parking Camera System Video Control to LCD/DVD/DVR.,http://amazon.com/Auto-Wayfeng-WF-Cameras-Control/dp/B07GYFC75X/ref=sr_1_151?keywords=Car+Video&qid=1647382290&s=car&sr=1-151,2022-03-16 06:12:05.586660
B07HCDSQGY,2022,3,16,car camera,10,8,255,3.8,219.98,0,0,1,1,0,0,0,0,0,0,0,"Sun, Mar 20","Sun, Mar 20",0,Camecho Double Din Android Car Stereo Radio 6.2'' Touch Screen DVD/CD Player Build-in GPS Navigation WiFi Bluetooth Support Android iOS Mirror Link with FM/AM/USB/SD/Backup Camera Input/APP Download,http://amazon.com/Double-Android-True-Radio-Stereo/dp/B07HCDSQGY/ref=sr_1_152?keywords=Car+Video&qid=1647382290&s=car&sr=1-152,2022-03-16 06:12:09.771606
B098Q1TXVH,2022,3,16,car camera,10,9,27,2.5,199.00,209.00,0,1,1,0,0,0,0,0,0,0,"Thu, Mar 17","Thu, Mar 17",0,"CarPlay AI Box Android 9.0 OTTOCAST Smart Split Screen Function Wireless CarPlay Video Adapter Support 5Ghz WiFi YouTube Video Phone Call Mirroing, ONLY for OEM Wired CarPlay Cars (2016-2020)",http://amazon.com/9-0-OTTOCAST-Function-Wireless-2016-2020/dp/B098Q1TXVH/ref=sr_1_153?keywords=Car+Video&qid=1647382290&s=car&sr=1-153,2022-03-16 06:12:13.954447
B07FTB8HGQ,2022,3,16,car camera,10,10,206,4.2,38.99,0,0,1,1,0,0,0,0,0,20% coupon applied at checkout,Save 20%  with coupon,"Thu, Mar 17","Thu, Mar 17",0,"Pathinglek Dash Cam 1080P DVR Dashboard Camera Car Driving Recorder 3 Inch Driving Camera LCD Screen, 170°Wide Angle, WDR, G-Sensor, Loop Recording, Parking Monitor, Motion Detection",http://amazon.com/Dashboard-170%C2%B0Wide-Recording-Detection-Excellent/dp/B07FTB8HGQ/ref=sr_1_154?keywords=Car+Video&qid=1647382290&s=car&sr=1-154,2022-03-16 06:12:21.522799
B08XLSRP3D,2022,3,16,car camera,10,11,912,4.1,39.99,49.99,1,1,1,0,0,0,0,0,0,0,"Sat, Mar 19","Sat, Mar 19",0,"Ainhyzic Dash Cam 1080P Dash Camera for Cars Front with 3-Inch LCD Screen, Night Vision, 170° Wide Angle, Loop Recording, WDR, G-Sensor, Parking Monitor, Motion Detection",http://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_car-electronics_sr_pg10_1?ie=UTF8&adId=A0086744AGJ6E36EDW4M&url=%2FAinhyzic-Recording-G-Sensor-Parking-Detection%2Fdp%2FB08XLSRP3D%2Fref%3Dsr_1_155_sspa%3Fkeywords%3DCar%2BVideo%26qid%3D1647382290%26s%3Dcar%26sr%3D1-155-spons%26psc%3D1&qualifier=1647382290&id=7283628577490767&widgetName=sp_mtf,2022-03-16 06:12:28.361563
