B001P2PPJ8,2022,3,16,lipstick,1,1,14741,4.5,7.18,10.49,1,1,1,0,0,0,0,0,$6.82 with Subscribe & Save discount,0,0.07 Fl Oz (Pack of 1),"Thu, Mar 17",0,"Liquid Lipstick with Clear Lip Gloss by Revlon, ColorStay Face Makeup, Overtime Lipcolor, Dual Ended with Vitamin E in Plum / Berry, Everlasting Rum (370), 0.07 oz",http://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_beauty_sr_pg1_1?ie=UTF8&adId=A0940915LXVI6FFLFIIP&url=%2FRevlon-ColorStay-Overtime-Lipstick-Everlasting%2Fdp%2FB001P2PPJ8%2Fref%3Dsr_1_1_sspa%3Fkeywords%3DLipstick%26qid%3D1647374806%26s%3Dbeauty%26sr%3D1-1-spons%26psc%3D1&qualifier=1647374806&id=6370909774459277&widgetName=sp_atf,2022-03-16 04:06:56.920172
B00J2APS2Y,2022,3,16,lipstick,1,2,16398,4.5,7.91,8.99,1,1,1,0,0,0,0,0,$7.51 with Subscribe & Save discount,0,1 Count (Pack of 1),"Thu, Mar 17",0,"COVERGIRL Outlast All-Day Lip Color With Topcoat, 555 Blossom Berry",http://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_beauty_sr_pg1_1?ie=UTF8&adId=A05296391C0LXNKNA0RPQ&url=%2FCOVERGIRL-Outlast-All-Day-Moisturizing-Blossom%2Fdp%2FB00J2APS2Y%2Fref%3Dsr_1_2_sspa%3Fkeywords%3DLipstick%26qid%3D1647374806%26s%3Dbeauty%26sr%3D1-2-spons%26psc%3D1&qualifier=1647374806&id=6370909774459277&widgetName=sp_atf,2022-03-16 04:07:01.959879
B004BJ5CAO,2022,3,16,lipstick,1,3,21469,4.6,5.82,8.95,0,1,1,0,0,0,1,0,$5.53 with Subscribe & Save discount,0,1 Count (Pack of 1),"Thu, Mar 17",0,"L'Oreal Paris Colour Riche Lipcolour, Mica, 1 Count",http://amazon.com/LOr%C3%A9al-Paris-Original-Hydrating-Lipstick/dp/B004BJ5CAO/ref=sr_1_3?keywords=Lipstick&qid=1647374806&s=beauty&sr=1-3,2022-03-16 04:07:06.148370
B08H4FSGDX,2022,3,16,lipstick,1,4,57903,4.4,7.98,9.49,0,1,1,0,0,1,0,0,$7.58 with Subscribe & Save discount,Save $1.32  with coupon,0.17 Fl Oz (Pack of 1),"Thu, Mar 17",0,"Maybelline New York SuperStay Matte Ink Liquid Lipstick, Spiced Edition, Exhilarator, 0.17 Ounce",http://amazon.com/Maybelline-SuperStay-Long-lasting-Pigmented-Exhilarator/dp/B08H4FSGDX/ref=sr_1_4?keywords=Lipstick&qid=1647374806&s=beauty&sr=1-4,2022-03-16 04:07:10.357376
B083QNQQP9,2022,3,16,lipstick,1,5,19422,4.0,11.88,0,0,1,1,0,0,0,0,0,0,0,6 Piece Set,"Thu, Mar 17",($22.00/Ounce),"6Pcs Matte Liquid Lipstick Makeup Set, Matte liquid Long-Lasting Wear Non-Stick Cup Not Fade Waterproof Lip Gloss (Set A)",http://amazon.com/Liquid-Lipstick-Long-Lasting-Non-Stick-Waterproof/dp/B083QNQQP9/ref=sr_1_5?keywords=Lipstick&qid=1647374806&s=beauty&sr=1-5,2022-03-16 04:07:14.566116
B082YQ521J,2022,3,16,lipstick,1,6,10664,4.0,1.98,2.99,0,1,1,0,0,0,0,0,$1.88 with Subscribe & Save discount,0,0.11 Ounce (Pack of 1),"Thu, Mar 17",0,Wet n Wild Mega Last High-Shine Lip Color Brick Red Fire-Fighting,http://amazon.com/wild-Mega-High-Shine-Color-Fire-Fighting/dp/B082YQ521J/ref=sr_1_6?keywords=Lipstick&qid=1647374806&s=beauty&sr=1-6,2022-03-16 04:07:18.776501
B09FM3V16C,2022,3,16,lipstick,1,7,314,4.4,12.88,0,0,1,1,0,0,0,0,0,Save more with Subscribe & Save,0,12 Count (Pack of 1),"Thu, Mar 17",0,"KIMIEYE 12Pcs Velvet Matte Liquid Lipstick Set, Waterproof Long Lasting Non-Stick Cup Not Fade Nude Lip Gloss Set, UP TO 24 HOURS, Professional Lip Makeup Gift Kit for Women",http://amazon.com/KIMIEYE-Lipstick-Waterproof-Non-Stick-Professional/dp/B09FM3V16C/ref=sr_1_7?keywords=Lipstick&qid=1647374806&s=beauty&sr=1-7,2022-03-16 04:07:22.977103
B089FBPMC6,2022,3,16,lipstick,1,8,12538,4.3,11.99,0,0,1,1,0,0,0,0,0,10% coupon applied at checkout,Save 10%  with coupon,8 Piece Set,"Thu, Mar 17",0,"7Pcs Matte Liquid Lipstick + 1Pcs Lip Plumper Makeup Set Kit, Long Lasting Waterproof Velvet Lip Gloss Set, Pigmented Lip Makeup Gift Sets for Girls and Women",http://amazon.com/Lipstick-Plumper-Waterproof-Pigmented-Halloween/dp/B089FBPMC6/ref=sr_1_8?keywords=Lipstick&qid=1647374806&s=beauty&sr=1-8,2022-03-16 04:07:27.182479
B0046753LO,2022,3,16,lipstick,1,9,19534,4.5,7.29,9.99,0,1,1,0,0,0,0,0,$6.93 with Subscribe & Save discount,Save $0.63  with coupon,"Thu, Mar 17","Thu, Mar 17",0,"Maybelline SuperStay 24, 2-Step Liquid Lipstick, Forever Chestnut",http://amazon.com/Maybelline-New-York-Superstay-Lipcolor/dp/B0046753LO/ref=sr_1_9?keywords=Lipstick&qid=1647374806&s=beauty&sr=1-9,2022-03-16 04:07:31.388043
B002LFLPQA,2022,3,16,lipstick,1,10,11295,4.5,5.48,7.49,0,1,1,0,0,0,0,0,$5.21 with Subscribe & Save discount,0,1 Count (Pack of 1),"Thu, Mar 17",0,"Maybelline Color Sensational Lipstick, Lip Makeup, Cream Finish, Hydrating Lipstick, Nude, Pink, Red, Plum Lip Color, Born With It, 0.15 oz; (Packaging May Vary)",http://amazon.com/Maybelline-New-York-Sensational-Lipstick/dp/B002LFLPQA/ref=sr_1_10?keywords=Lipstick&qid=1647374806&s=beauty&sr=1-10,2022-03-16 04:07:35.606423
