B098Q1TXVH,2022,3,16,1,It's very cool and almost perfect but sadly it's not,3.0 out of 5 stars,One person found this helpful,"Reviewed in the United States on September 20, 2021",majd farah,,Verified Purchase,,I loved how it's almost like a phone in my car where can do so much and all it needed is internet.,2022-03-16 06:12:20.435232
B098Q1TXVH,2022,3,16,2,Lags and crashes,2.0 out of 5 stars,One person found this helpful,"Reviewed in the United States on August 28, 2021",Christopher Menjivar,,Verified Purchase,,This Car media box would lag and crash I took so long to use apple car play and sometimes it wouldn’t even work. Some videos apps are not supported…. Unfortunately I tried to like it but for the price it’s a no from me.,2022-03-16 06:12:20.435232
B098Q1TXVH,2022,3,16,3,not fit with my GMC!,1.0 out of 5 stars,,"Reviewed in the United States on December 24, 2021",Tommy Snyder,,Verified Purchase,,not fit with my GMC!,2022-03-16 06:12:20.435232
B098Q1TXVH,2022,3,16,4,Quit working after a few months,1.0 out of 5 stars,,"Reviewed in the United States on November 29, 2021",michael,,Verified Purchase,,The product worked ok for about 2 months then stopped. Customer support is slow to respond if they respond at all. I would recommend steering clear of this product.,2022-03-16 06:12:20.435232
B098Q1TXVH,2022,3,16,5,Lo mejor lo mejor 👌,5.0 out of 5 stars,One person found this helpful,"Reviewed in the United States on November 14, 2021",Noel martinez,,Verified Purchase,,,2022-03-16 06:12:20.435232
B098Q1TXVH,2022,3,16,6,Ottocasmart,3.0 out of 5 stars,,"Reviewed in the United States on March 12, 2022",Fredy,,Verified Purchase,,"Nothing appears about a Wi-Fi option at first if now nothing appears, what can I do in this case",2022-03-16 06:12:20.435232
B098Q1TXVH,2022,3,16,7,Never was recognized by head unit,1.0 out of 5 stars,,"Reviewed in the United States on January 24, 2022",Edison Perez,,Verified Purchase,,"Never worked, got returned.",2022-03-16 06:12:20.435232
B098Q1TXVH,2022,3,16,8,Usually Works Well,4.0 out of 5 stars,,"Reviewed in the United States on October 22, 2021",Jack,"
        VINE VOICE",,Vine Customer Review of Free Product,"I was really excited to use this device seeing that it gives you Android 9 in your car and all you have to do is own a vehicle with wired CarPlay to use it! The setup was really easy just plug it into your CarPlay USB, connect to it via Bluetooth, and you’re all set. You don’t need a 2018+ car, as I did it with a 2017 and it worked fine! Onto the device features, it very much is android 9 down to the core with a skin on top. Most apps will run pretty smoothly like YouTube and Hulu for instance but I’ve noticed that Google Maps is incredibly slow and I usually have to force close it to the point where I ended up going back to CarPlay in general as it was just taking too long to load map data. There’s split screen which is super useful though if you want to rock Google chrome and Netflix or YouTube. The browsers run fine, not too slow and not too quick. I think for the asking price the devices should be able to get a cpu or ram buff to handle more demanding tasks like maps as it really shouldn’t take that long but in general this device is pretty solid for everything else! It’s cool to have a fully functional version of android in your car!",2022-03-16 06:12:20.435232
B07FTB8HGQ,2022,3,16,1,"Cheap price, premium features. VERY good for this price!",5.0 out of 5 stars,97 people found this helpful,"Reviewed in the United States on July 20, 2019",Robbie Ferguson,,,,"At $30 this dash cam is surprisingly good. The features like G-Sensor, wide dynamic range and night vision are really impressive at this price. And to boot, I'm very impressed with the picture quality. It came with a good long cable which will be easy to tuck around the edge of the window to hide it away. It starts recording immediately when the car is started, and the ""parking mode"" is neat (to automatically start recording when it sees movement while the car is parked). See my video for the full review with sample footage (daytime).",2022-03-16 06:12:27.256231
B07FTB8HGQ,2022,3,16,2,Wish I had this years ago!,5.0 out of 5 stars,12 people found this helpful,"Reviewed in the United States on October 28, 2021",Michael O. Eyre,,Verified Purchase,,"This thing is fantastic! I already got a guy blasting by me on the right hand side on an illegal pass, running a stop sign, improper passing, and all of that allowed me to get his license plate on video so that the cops could run it later on and find out it was canceled. Speaking of cops, I have one of those guys on video making an illegal pass in a no passing zone with no emergency lights activated… This thing is hysterical fun! The amazing amount of weird stuff that you catch people doing on video is unbelievable. The video is really excellent here, and the audio from the camera picks up whatever you say on the spur of the moment, so just watch yourself when you start seeing strange stuff. 🤣",2022-03-16 06:12:27.256231
B07FTB8HGQ,2022,3,16,3,Camera doesn't stay in the mount,4.0 out of 5 stars,11 people found this helpful,"Reviewed in the United States on November 3, 2021",Christian,,Verified Purchase,,"Camera works well, however I have an issue that the roads in my country have many holes and bumps, and every 3 to 4 days the camera suddenly falls off from the suction mount and I have to put it in place again in the next stop light. The mount should be a bit more adjusted, or have some of those spring ball locks to hold it in place.",2022-03-16 06:12:27.256231
B07FTB8HGQ,2022,3,16,4,Paid $20 used worked but still returned,1.0 out of 5 stars,10 people found this helpful,"Reviewed in the United States on March 31, 2021",Uhdeman,,Verified Purchase,,"Too complicated I had few great cams many more junkers. This worked but when I get dash cam I want only a few things. Longevity, simplicity, and great price. Plug in, record, dont burnout, and don't make me have to read a instructions booklet so the memory card doesn't fill up an ho to turn screen off but still record. I'm sure if you had time to waste on. Dashcam it be fine not for me",2022-03-16 06:12:27.256231
B07FTB8HGQ,2022,3,16,5,Pretty good for the price,5.0 out of 5 stars,4 people found this helpful,"Reviewed in the United States on December 10, 2021",Fernando Serra,,Verified Purchase,,Price is reasonable. The suction isn't all that great it does fall off my windshield after awhile. Picture quality is solid. It does need to be plugged in while you are driving. It makes my car feel a bit cluttered.Only 1 camera lens.,2022-03-16 06:12:27.256231
B07FTB8HGQ,2022,3,16,6,Great value!,5.0 out of 5 stars,6 people found this helpful,"Reviewed in the United States on February 18, 2021",Andrew Palange,,Verified Purchase,,"Fantastic value from a product that I paid ~$22 for! It came with two mounts, a power cable for the car, a USB cable for transferring data, and a 16 page manual with instructions that are actually understandable!",2022-03-16 06:12:27.256231
B07FTB8HGQ,2022,3,16,7,Died after 14 months,2.0 out of 5 stars,,"Reviewed in the United States on March 13, 2022",GreenRageHulk,,Verified Purchase,,"For the price, it works.  I evaluated the video quality, it is on par with what you would expect for $40.",2022-03-16 06:12:27.256231
B07FTB8HGQ,2022,3,16,8,"Pretty good, but cigarette plug is delicate.",4.0 out of 5 stars,One person found this helpful,"Reviewed in the United States on December 9, 2021",Paul G.,,Verified Purchase,,"The camera is pretty good, sometimes it slips off the mount...the cigarette plug that you plug in to get power is sort of delicate, it may be the wire that comes from the back and after you use the plug several times the wire may loosen or crack and the power is interrupted. Maybe some black electrical tape put on before it goes bad may help the wire from moving too much.",2022-03-16 06:12:27.256231
